iter:235, x:24.031, y:-13.326, z:-21.592, phi:0.000, theta:-0.000, psi:2.444 
iter:236, x:24.150, y:-13.425, z:-21.708, phi:0.000, theta:-0.000, psi:2.455 
iter:237, x:24.269, y:-13.524, z:-21.824, phi:0.000, theta:-0.000, psi:2.467 
iter:238, x:24.427, y:-13.656, z:-21.978, phi:0.000, theta:-0.000, psi:2.485 
iter:239, x:24.566, y:-13.771, z:-22.114, phi:0.000, theta:-0.000, psi:2.500 
iter:240, x:24.684, y:-13.870, z:-22.230, phi:0.000, theta:-0.000, psi:2.514 
iter:241, x:24.822, y:-13.985, z:-22.367, phi:0.000, theta:-0.000, psi:2.532 
iter:242, x:24.941, y:-14.083, z:-22.483, phi:0.000, theta:-0.000, psi:2.544 
iter:243, x:25.098, y:-14.214, z:-22.640, phi:0.000, theta:-0.000, psi:2.562 
iter:244, x:25.197, y:-14.296, z:-22.737, phi:0.000, theta:-0.000, psi:2.574 
iter:245, x:25.354, y:-14.427, z:-22.894, phi:0.000, theta:-0.000, psi:2.593 
iter:246, x:25.492, y:-14.541, z:-23.032, phi:0.000, theta:-0.000, psi:2.610 
iter:247, x:25.610, y:-14.639, z:-23.150, phi:0.000, theta:-0.000, psi:2.624 
iter:248, x:25.747, y:-14.753, z:-23.287, phi:0.000, theta:-0.000, psi:2.641 
iter:249, x:25.865, y:-14.850, z:-23.406, phi:0.000, theta:-0.000, psi:2.656 
iter:250, x:26.002, y:-14.964, z:-23.544, phi:0.000, theta:-0.000, psi:2.674 
iter:251, x:26.120, y:-15.061, z:-23.663, phi:0.000, theta:-0.000, psi:2.689 
iter:252, x:26.276, y:-15.190, z:-23.822, phi:0.000, theta:-0.000, psi:2.709 
iter:253, x:26.413, y:-15.303, z:-23.961, phi:0.000, theta:-0.000, psi:2.726 
iter:254, x:26.530, y:-15.400, z:-24.081, phi:0.000, theta:-0.000, psi:2.741 
iter:255, x:26.667, y:-15.513, z:-24.220, phi:0.000, theta:-0.000, psi:2.759 
iter:256, x:26.784, y:-15.610, z:-24.340, phi:0.000, theta:-0.000, psi:2.775 
iter:257, x:26.940, y:-15.738, z:-24.501, phi:0.000, theta:-0.000, psi:2.795 
